Compound::DB00811,-0.21416785
Compound::DB00993,-0.83508927
Compound::DB00635,-0.8974802
Compound::DB01082,-0.9854876
Compound::DB01234,-0.9984007
Compound::DB00982,-1.0160716
Compound::DB00563,-1.0189464
Compound::DB00290,-1.0641038
Compound::DB01394,-1.0806746
Compound::DB01222,-1.0845475
Compound::DB00415,-1.0853981
Compound::DB01004,-1.096668
Compound::DB00860,-1.1004776
Compound::DB00681,-1.101156
Compound::DB00688,-1.1256869
Compound::DB00624,-1.1428287
Compound::DB00959,-1.1618403
Compound::DB00115,-1.1868137
Compound::DB00091,-1.1906722
Compound::DB01024,-1.2051165
Compound::DB00741,-1.2147057
Compound::DB00441,-1.2320445
Compound::DB00158,-1.234654
Compound::DB00499,-1.2525147
Compound::DB00929,-1.273051
Compound::DB00770,-1.2825534
Compound::DB01331,-1.2960494
Compound::DB00958,-1.2967789
Compound::DB02527,-1.303438
Compound::DB00196,-1.3053392
Compound::DB00537,-1.313183
Compound::DB00644,-1.3131871
Compound::DB01048,-1.3267226
Compound::DB00552,-1.3272083
Compound::DB00328,-1.3286102
Compound::DB00171,-1.3300385
Compound::DB01212,-1.3330755
Compound::DB09093,-1.3382993
Compound::DB00783,-1.3385609
Compound::DB09341,-1.3396969
Compound::DB00558,-1.3425884
Compound::DB05382,-1.357513
Compound::DB01112,-1.3584509
Compound::DB00515,-1.360812
Compound::DB01101,-1.3815485
Compound::DB01165,-1.383816
Compound::DB01183,-1.3862146
Compound::DB00815,-1.3863484
Compound::DB00755,-1.3881779
Compound::DB00198,-1.3885014
Compound::DB00480,-1.3935311
Compound::DB00806,-1.3996545
Compound::DB01656,-1.3999741
Compound::DB00759,-1.4046501
Compound::DB00917,-1.411602
Compound::DB01181,-1.4148889
Compound::DB01039,-1.4176589
Compound::DB00512,-1.4207388
Compound::DB01233,-1.4211887
Compound::DB11996,-1.4257903
Compound::DB00738,-1.4274099
Compound::DB00716,-1.4327493
Compound::DB03461,-1.4379275
Compound::DB00591,-1.4404339
Compound::DB01327,-1.4408743
Compound::DB00131,-1.4446887
Compound::DB00693,-1.446075
Compound::DB00369,-1.4505744
Compound::DB04630,-1.4531155
Compound::DB00878,-1.4564666
Compound::DB08818,-1.463368
Compound::DB00682,-1.4691765
Compound::DB01068,-1.4700129
Compound::DB00446,-1.4720206
Compound::DB01115,-1.4729849
Compound::DB00355,-1.4770021
Compound::DB01030,-1.4850687
Compound::DB00620,-1.4973516
Compound::DB00396,-1.4976921
Compound::DB01073,-1.4987037
Compound::DB00640,-1.5026222
Compound::DB00999,-1.503429
Compound::DB01060,-1.5043643
Compound::DB00493,-1.5072371
Compound::DB01240,-1.5090959
Compound::DB00364,-1.5099449
Compound::DB01263,-1.5119932
